Invoice ID,Branch,City,Customer type,Gender,Product line
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories
106-35-6779,A,Yangon,Member,Male,Home and lifestyle
635-40-6220,A,Yangon,Normal,Male,Health and beauty
817-48-8732,A,Yangon,Member,Female,Home and lifestyle
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle
347-34-2234,B,Mandalay,Member,Female,Sports and travel
199-75-8169,A,Yangon,Member,Male,Sports and travel
853-23-2453,B,Mandalay,Member,Male,Health and beauty
877-22-3308,A,Yangon,Member,Male,Health and beauty
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty
109-28-2512,B,Mandalay,Member,Female,Fashion accessories
232-11-3025,A,Yangon,Normal,Male,Sports and travel
382-03-4532,A,Yangon,Member,Female,Health and beauty
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories
510-95-6347,B,Mandalay,Member,Female,Food and beverages
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories
381-20-0914,A,Yangon,Member,Female,Fashion accessories
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty
847-38-7188,B,Mandalay,Normal,Female,Food and beverages
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories
633-44-8566,A,Yangon,Member,Male,Food and beverages
504-35-8843,A,Yangon,Normal,Male,Sports and travel
318-68-5053,B,Mandalay,Normal,Female,Health and beauty
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel
873-51-0671,A,Yangon,Member,Female,Sports and travel
152-08-9985,B,Mandalay,Member,Male,Health and beauty
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty
594-34-4444,A,Yangon,Normal,Male,Electronic accessories
766-85-7061,B,Mandalay,Normal,Male,Health and beauty
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories
865-92-6136,A,Yangon,Normal,Male,Food and beverages
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories
212-62-1842,A,Yangon,Normal,Male,Food and beverages
716-39-1409,B,Mandalay,Normal,Male,Health and beauty
704-48-3927,A,Yangon,Member,Male,Electronic accessories
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories
630-74-5166,A,Yangon,Normal,Male,Sports and travel
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories
479-26-8945,B,Mandalay,Member,Female,Sports and travel
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories
645-44-1170,A,Yangon,Member,Male,Home and lifestyle
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories
291-32-1427,B,Mandalay,Member,Male,Fashion accessories
659-65-8956,B,Mandalay,Member,Male,Fashion accessories
642-32-2990,A,Yangon,Normal,Female,Food and beverages
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle
638-60-7125,A,Yangon,Normal,Female,Electronic accessories
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel
219-22-9386,B,Mandalay,Member,Male,Sports and travel
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle
268-27-6179,B,Mandalay,Member,Female,Fashion accessories
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle
870-54-3162,A,Yangon,Normal,Female,Sports and travel
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages
549-84-7482,B,Mandalay,Normal,Female,Sports and travel
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories
802-70-5316,A,Yangon,Member,Female,Sports and travel
695-51-0018,B,Mandalay,Normal,Female,Sports and travel
590-83-4591,B,Mandalay,Member,Male,Electronic accessories
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories
700-81-1757,A,Yangon,Normal,Female,Electronic accessories
354-39-5160,A,Yangon,Member,Female,Home and lifestyle
241-72-9525,B,Mandalay,Normal,Male,Sports and travel
575-30-8091,A,Yangon,Normal,Male,Sports and travel
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty
685-64-1609,A,Yangon,Member,Female,Fashion accessories
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle
238-49-0436,A,Yangon,Normal,Male,Health and beauty
608-96-3517,B,Mandalay,Member,Female,Fashion accessories
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel
746-94-0204,A,Yangon,Normal,Male,Fashion accessories
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel
782-95-9291,A,Yangon,Member,Male,Food and beverages
279-74-2924,B,Mandalay,Member,Male,Electronic accessories
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle
743-04-1105,B,Mandalay,Member,Male,Health and beauty
423-57-2993,B,Mandalay,Normal,Male,Sports and travel
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages
275-28-0149,A,Yangon,Normal,Male,Sports and travel
101-17-6199,A,Yangon,Normal,Male,Food and beverages
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel
548-46-9322,B,Mandalay,Normal,Male,Food and beverages
505-02-0892,B,Mandalay,Member,Male,Health and beauty
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle
687-47-8271,A,Yangon,Normal,Male,Fashion accessories
796-32-9050,A,Yangon,Normal,Male,Food and beverages
105-31-1824,A,Yangon,Member,Male,Sports and travel
249-42-3782,A,Yangon,Normal,Male,Health and beauty
316-55-4634,B,Mandalay,Member,Male,Food and beverages
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories
608-27-6295,B,Mandalay,Member,Male,Electronic accessories
414-12-7047,B,Mandalay,Normal,Male,Food and beverages
827-26-2100,A,Yangon,Member,Male,Home and lifestyle
175-54-2529,A,Yangon,Member,Male,Food and beverages
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories
407-63-8975,A,Yangon,Normal,Male,Food and beverages
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages
851-28-6367,A,Yangon,Member,Male,Sports and travel
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty
586-25-0848,A,Yangon,Normal,Female,Sports and travel
895-66-0685,B,Mandalay,Member,Male,Food and beverages
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle
831-07-6050,A,Yangon,Normal,Male,Electronic accessories
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel
542-41-0513,B,Mandalay,Member,Female,Electronic accessories
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories
875-46-5808,B,Mandalay,Member,Male,Health and beauty
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle
749-24-1565,A,Yangon,Normal,Female,Health and beauty
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories
888-02-0338,A,Yangon,Normal,Male,Electronic accessories
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle
656-16-1063,B,Mandalay,Normal,Male,Sports and travel
891-58-8335,B,Mandalay,Member,Female,Sports and travel
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle
560-30-5617,B,Mandalay,Normal,Female,Sports and travel
319-74-2561,A,Yangon,Member,Female,Electronic accessories
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories
790-29-1172,B,Mandalay,Normal,Female,Food and beverages
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories
468-01-2051,B,Mandalay,Normal,Male,Food and beverages
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories
213-72-6612,A,Yangon,Normal,Male,Food and beverages
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel
836-82-5858,B,Mandalay,Member,Male,Health and beauty
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories
466-61-5506,B,Mandalay,Member,Female,Electronic accessories
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories
545-46-3100,B,Mandalay,Member,Female,Electronic accessories
418-02-5978,B,Mandalay,Normal,Female,Health and beauty
269-04-5750,B,Mandalay,Member,Male,Fashion accessories
157-13-5295,A,Yangon,Member,Male,Health and beauty
645-78-8093,A,Yangon,Normal,Female,Sports and travel
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories
346-84-3103,B,Mandalay,Member,Female,Electronic accessories
478-06-7835,A,Yangon,Normal,Male,Fashion accessories
540-11-4336,A,Yangon,Normal,Male,Food and beverages
448-81-5016,A,Yangon,Normal,Male,Health and beauty
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories
217-58-1179,A,Yangon,Member,Male,Home and lifestyle
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle
530-90-9855,A,Yangon,Member,Male,Home and lifestyle
866-05-7563,B,Mandalay,Member,Female,Electronic accessories
604-70-6476,A,Yangon,Member,Male,Fashion accessories
799-71-1548,A,Yangon,Member,Male,Electronic accessories
785-13-7708,B,Mandalay,Normal,Male,Food and beverages
845-51-0542,B,Mandalay,Member,Male,Food and beverages
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle
704-11-6354,A,Yangon,Member,Male,Home and lifestyle
110-48-7033,B,Mandalay,Member,Male,Fashion accessories
366-93-0948,A,Yangon,Member,Male,Electronic accessories
729-09-9681,A,Yangon,Member,Male,Home and lifestyle
151-16-1484,A,Yangon,Member,Male,Electronic accessories
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories
850-41-9669,A,Yangon,Normal,Female,Electronic accessories
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories
655-85-5130,B,Mandalay,Member,Female,Fashion accessories
447-15-7839,A,Yangon,Member,Female,Sports and travel
154-74-7179,B,Mandalay,Normal,Male,Sports and travel
253-12-6086,A,Yangon,Member,Female,Sports and travel
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle
571-94-0759,B,Mandalay,Member,Female,Food and beverages
144-51-6085,A,Yangon,Member,Male,Home and lifestyle
731-14-2199,A,Yangon,Member,Female,Home and lifestyle
783-09-1637,B,Mandalay,Normal,Female,Sports and travel
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty
126-54-1082,A,Yangon,Member,Female,Home and lifestyle
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle
477-24-6490,B,Mandalay,Normal,Female,Health and beauty
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories
828-61-5674,A,Yangon,Member,Male,Sports and travel
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle
490-29-1201,A,Yangon,Normal,Female,Sports and travel
667-92-0055,A,Yangon,Member,Male,Health and beauty
565-17-3836,A,Yangon,Member,Female,Health and beauty
498-41-1961,B,Mandalay,Normal,Male,Health and beauty
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel
283-79-9594,B,Mandalay,Normal,Female,Food and beverages
430-60-3493,A,Yangon,Member,Female,Home and lifestyle
139-20-0155,B,Mandalay,Member,Male,Electronic accessories
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories
278-97-7759,A,Yangon,Member,Female,Electronic accessories
316-68-6352,A,Yangon,Member,Female,Food and beverages
585-03-5943,B,Mandalay,Normal,Male,Health and beauty
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories
744-02-5987,A,Yangon,Member,Male,Home and lifestyle
307-83-9164,A,Yangon,Member,Male,Home and lifestyle
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories
573-10-3877,B,Mandalay,Member,Male,Health and beauty
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages
439-54-7422,A,Yangon,Normal,Female,Electronic accessories
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories
411-77-0180,A,Yangon,Member,Male,Electronic accessories
286-01-5402,A,Yangon,Normal,Female,Sports and travel
803-17-8013,A,Yangon,Member,Female,Home and lifestyle
512-98-1403,A,Yangon,Member,Female,Electronic accessories
848-42-2560,A,Yangon,Normal,Female,Fashion accessories
532-59-7201,B,Mandalay,Member,Male,Sports and travel
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories
870-76-1733,A,Yangon,Member,Female,Food and beverages
423-64-4619,A,Yangon,Member,Female,Health and beauty
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty
787-15-1757,C,Naypyitaw,Member,Male,Health and beauty
649-11-3678,C,Naypyitaw,Normal,Female,Food and beverages
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty
372-94-8041,A,Yangon,Normal,Male,Health and beauty
563-91-7120,A,Yangon,Normal,Female,Fashion accessories
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle
276-54-0879,B,Mandalay,Normal,Male,Sports and travel
815-11-1168,A,Yangon,Member,Male,Food and beverages
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages
730-61-8757,B,Mandalay,Member,Male,Health and beauty
340-66-0321,A,Yangon,Member,Male,Electronic accessories
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle
634-97-8956,A,Yangon,Normal,Male,Food and beverages
566-71-1091,A,Yangon,Normal,Male,Fashion accessories
442-48-3607,A,Yangon,Member,Male,Food and beverages
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel
527-09-6272,A,Yangon,Member,Female,Electronic accessories
898-04-2717,A,Yangon,Normal,Male,Fashion accessories
692-27-8933,B,Mandalay,Normal,Female,Sports and travel
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories
374-17-3652,B,Mandalay,Member,Female,Food and beverages
378-07-7001,B,Mandalay,Member,Male,Electronic accessories
433-75-6987,B,Mandalay,Member,Female,Health and beauty
873-95-4984,B,Mandalay,Member,Female,Health and beauty
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages
150-89-8043,A,Yangon,Normal,Male,Sports and travel
135-84-8019,A,Yangon,Normal,Female,Fashion accessories
441-94-7118,A,Yangon,Member,Male,Electronic accessories
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle
531-80-1784,A,Yangon,Normal,Male,Electronic accessories
400-45-1220,B,Mandalay,Normal,Female,Health and beauty
860-79-0874,C,Naypyitaw,Member,Female,Fashion accessories
834-61-8124,A,Yangon,Normal,Male,Electronic accessories
115-99-4379,B,Mandalay,Member,Female,Fashion accessories
565-67-6697,B,Mandalay,Member,Male,Home and lifestyle
320-49-6392,C,Naypyitaw,Normal,Female,Electronic accessories
889-04-9723,B,Mandalay,Member,Female,Food and beverages
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories
554-42-2417,C,Naypyitaw,Normal,Female,Sports and travel
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories
578-80-7669,B,Mandalay,Normal,Male,Sports and travel
612-36-5536,A,Yangon,Member,Male,Food and beverages
605-72-4132,C,Naypyitaw,Normal,Female,Food and beverages
471-41-2823,C,Naypyitaw,Normal,Male,Food and beverages
462-67-9126,A,Yangon,Normal,Male,Home and lifestyle
272-27-9238,C,Naypyitaw,Normal,Female,Food and beverages
834-25-9262,C,Naypyitaw,Normal,Female,Fashion accessories
122-61-9553,C,Naypyitaw,Normal,Female,Electronic accessories
468-88-0009,A,Yangon,Member,Male,Home and lifestyle
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel
254-31-0042,A,Yangon,Member,Male,Electronic accessories
201-86-2184,B,Mandalay,Member,Female,Electronic accessories
261-12-8671,B,Mandalay,Normal,Female,Fashion accessories
730-70-9830,C,Naypyitaw,Normal,Female,Home and lifestyle
382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories
422-29-8786,A,Yangon,Normal,Female,Home and lifestyle
667-23-5919,A,Yangon,Member,Female,Fashion accessories
843-01-4703,B,Mandalay,Member,Female,Home and lifestyle
743-88-1662,C,Naypyitaw,Normal,Male,Sports and travel
595-86-2894,C,Naypyitaw,Member,Male,Fashion accessories
182-69-8360,B,Mandalay,Normal,Female,Electronic accessories
289-15-7034,A,Yangon,Member,Male,Sports and travel
462-78-5240,C,Naypyitaw,Normal,Female,Electronic accessories
868-52-7573,B,Mandalay,Normal,Female,Food and beverages
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages
662-72-2873,A,Yangon,Normal,Female,Food and beverages
525-88-7307,B,Mandalay,Member,Male,Sports and travel
689-16-9784,C,Naypyitaw,Normal,Male,Food and beverages
725-56-0833,A,Yangon,Normal,Female,Health and beauty
394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories
596-42-3999,B,Mandalay,Normal,Male,Food and beverages
541-89-9860,C,Naypyitaw,Member,Female,Fashion accessories
173-82-9529,B,Mandalay,Normal,Female,Fashion accessories
563-36-9814,A,Yangon,Member,Male,Electronic accessories
308-47-4913,A,Yangon,Member,Female,Sports and travel
885-17-6250,A,Yangon,Normal,Female,Health and beauty
726-27-2396,A,Yangon,Normal,Female,Health and beauty
316-01-3952,A,Yangon,Normal,Female,Food and beverages
760-54-1821,B,Mandalay,Normal,Male,Home and lifestyle
793-10-3222,B,Mandalay,Member,Female,Health and beauty
346-12-3257,B,Mandalay,Member,Male,Electronic accessories
110-05-6330,C,Naypyitaw,Normal,Female,Food and beverages
651-61-0874,C,Naypyitaw,Normal,Male,Home and lifestyle
236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle
831-64-0259,B,Mandalay,Normal,Female,Fashion accessories
587-03-7455,C,Naypyitaw,Member,Female,Fashion accessories
882-40-4577,A,Yangon,Member,Male,Sports and travel
732-67-5346,A,Yangon,Normal,Male,Food and beverages
725-32-9708,B,Mandalay,Member,Female,Fashion accessories
256-08-8343,A,Yangon,Normal,Female,Home and lifestyle
372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories
244-08-0162,B,Mandalay,Normal,Female,Health and beauty
569-71-4390,B,Mandalay,Normal,Male,Sports and travel
132-23-6451,A,Yangon,Member,Male,Health and beauty
696-90-2548,A,Yangon,Normal,Male,Sports and travel
472-15-9636,A,Yangon,Normal,Male,Home and lifestyle
268-03-6164,B,Mandalay,Normal,Male,Health and beauty
750-57-9686,C,Naypyitaw,Normal,Female,Home and lifestyle
186-09-3669,C,Naypyitaw,Member,Female,Health and beauty
848-07-1692,B,Mandalay,Normal,Female,Health and beauty
745-71-3520,A,Yangon,Member,Female,Electronic accessories
266-76-6436,C,Naypyitaw,Member,Female,Food and beverages
740-22-2500,C,Naypyitaw,Normal,Female,Electronic accessories
271-88-8734,C,Naypyitaw,Member,Female,Fashion accessories
301-81-8610,B,Mandalay,Member,Male,Fashion accessories
489-64-4354,C,Naypyitaw,Normal,Male,Fashion accessories
198-84-7132,B,Mandalay,Member,Male,Fashion accessories
269-10-8440,A,Yangon,Member,Male,Health and beauty
650-98-6268,B,Mandalay,Member,Female,Food and beverages
741-73-3559,B,Mandalay,Normal,Male,Sports and travel
325-77-6186,A,Yangon,Member,Female,Home and lifestyle
286-75-7818,B,Mandalay,Normal,Male,Fashion accessories
574-57-9721,C,Naypyitaw,Normal,Male,Food and beverages
459-50-7686,A,Yangon,Normal,Female,Electronic accessories
616-87-0016,B,Mandalay,Normal,Male,Fashion accessories
837-55-7229,B,Mandalay,Normal,Female,Fashion accessories
751-69-0068,C,Naypyitaw,Normal,Male,Sports and travel
257-73-1380,C,Naypyitaw,Member,Male,Sports and travel
345-08-4992,A,Yangon,Normal,Male,Home and lifestyle
549-96-4200,C,Naypyitaw,Member,Male,Food and beverages
810-60-6344,C,Naypyitaw,Normal,Female,Electronic accessories
450-28-2866,C,Naypyitaw,Member,Male,Food and beverages
394-30-3170,B,Mandalay,Member,Female,Sports and travel
138-17-5109,A,Yangon,Member,Female,Home and lifestyle
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories
301-11-9629,A,Yangon,Normal,Female,Sports and travel
390-80-5128,B,Mandalay,Member,Female,Health and beauty
235-46-8343,C,Naypyitaw,Member,Male,Food and beverages
453-12-7053,C,Naypyitaw,Normal,Male,Fashion accessories
296-11-7041,B,Mandalay,Member,Female,Health and beauty
449-27-2918,B,Mandalay,Member,Female,Sports and travel
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories
727-17-0390,A,Yangon,Normal,Female,Food and beverages
568-88-3448,A,Yangon,Normal,Male,Health and beauty
187-83-5490,A,Yangon,Member,Male,Electronic accessories
767-54-1907,B,Mandalay,Member,Female,Fashion accessories
710-46-4433,B,Mandalay,Member,Female,Food and beverages
533-33-5337,B,Mandalay,Normal,Male,Electronic accessories
325-90-8763,C,Naypyitaw,Member,Female,Electronic accessories
729-46-7422,C,Naypyitaw,Normal,Male,Food and beverages
639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages
234-03-4040,B,Mandalay,Member,Female,Food and beverages
326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel
320-32-8842,C,Naypyitaw,Member,Female,Food and beverages
470-32-9057,A,Yangon,Member,Male,Food and beverages
878-30-2331,C,Naypyitaw,Member,Female,Sports and travel
440-59-5691,C,Naypyitaw,Member,Female,Health and beauty
554-53-3790,B,Mandalay,Normal,Male,Sports and travel
746-19-0921,C,Naypyitaw,Normal,Male,Food and beverages
233-34-0817,C,Naypyitaw,Member,Female,Electronic accessories
767-05-1286,C,Naypyitaw,Member,Female,Home and lifestyle
